Property_ID,Area,Bedrooms,Bathrooms,Age,Location,Property_Type,Price
PROP0001,3712,4,3,36,Rural,House,22260000
PROP0002,1591,4,1,35,Suburb,House,16057500
PROP0003,1646,4,3,20,Rural,Villa,12730000
PROP0004,4814,1,2,13,City Center,Villa,50840000
PROP0005,800,4,2,38,Suburb,Apartment,10650000
PROP0006,4318,3,1,6,Rural,House,24790000
PROP0007,2705,1,3,13,Rural,House,15375000
PROP0008,3128,5,3,19,City Center,Villa,42380000
PROP0009,4824,5,2,23,Suburb,Villa,43455000
PROP0010,2300,1,1,12,City Center,House,24800000
PROP0011,4977,1,3,10,Rural,Villa,26885000
PROP0012,1103,5,1,46,City Center,House,17430000
PROP0013,4522,4,1,12,City Center,Apartment,53020000
PROP0014,1815,3,1,20,Suburb,House,17362500
PROP0015,810,1,2,6,Suburb,House,8625000
PROP0016,4543,1,1,14,Suburb,Villa,35272500
PROP0017,4958,1,2,5,Rural,Villa,26540000
PROP0018,3392,4,1,9,Suburb,Apartment,31515000
PROP0019,1128,5,2,33,Suburb,Apartment,14985000
PROP0020,4012,2,2,34,Rural,Apartment,21360000
PROP0021,2684,1,1,6,Rural,Apartment,14620000
PROP0022,1721,3,1,26,Rural,House,10805000
PROP0023,2463,4,1,1,Suburb,Villa,25147500
PROP0024,4037,1,2,1,City Center,Apartment,44270000
PROP0025,1942,4,2,34,Suburb,Villa,19515000
PROP0026,650,2,2,37,City Center,House,8800000
PROP0027,1619,3,3,7,City Center,Villa,24490000
PROP0028,2176,5,1,20,Suburb,House,23070000
PROP0029,4999,5,1,45,Suburb,Villa,42367500
PROP0030,2371,5,2,43,Rural,Apartment,15705000
PROP0031,4061,4,2,3,Suburb,Apartment,37732500
PROP0032,2618,1,3,23,City Center,Villa,28880000
PROP0033,2667,4,1,37,Rural,Apartment,15985000
PROP0034,1282,2,2,8,Rural,Apartment,9010000
PROP0035,2169,2,3,41,Rural,House,12295000
PROP0036,4919,4,2,45,City Center,Villa,54690000
PROP0037,1843,3,3,25,Suburb,Villa,18697500
PROP0038,3449,3,3,12,Rural,House,21145000
PROP0039,628,4,1,6,Suburb,Villa,11010000
PROP0040,3163,3,2,14,Suburb,House,28672500
PROP0041,615,4,3,6,Suburb,Villa,12412500
PROP0042,4027,5,3,47,Suburb,Villa,36427500
PROP0043,2137,2,2,47,City Center,Villa,22670000
PROP0044,4317,1,3,20,City Center,Apartment,46170000
PROP0045,4498,1,2,9,Rural,Villa,24040000
PROP0046,793,3,1,43,City Center,House,10630000
PROP0047,2129,2,3,34,Suburb,House,18667500
PROP0048,4572,4,2,24,Rural,Apartment,26660000
PROP0049,3770,3,1,25,Rural,Villa,21100000
PROP0050,851,4,2,46,Suburb,House,10432500
PROP0051,2362,5,2,47,Rural,House,15460000
PROP0052,2925,3,1,28,Rural,Villa,16725000
PROP0053,3114,1,2,1,City Center,House,35040000
PROP0054,3611,4,2,24,Rural,Villa,21855000
PROP0055,3622,2,3,1,Suburb,Apartment,32340000
PROP0056,3309,4,1,37,Suburb,Villa,28792500
PROP0057,535,1,2,11,Rural,Villa,4125000
PROP0058,4376,5,1,30,Suburb,Villa,38820000
PROP0059,3274,1,3,8,City Center,Villa,36940000
PROP0060,3911,3,1,17,City Center,House,44410000
PROP0061,3964,5,2,10,Rural,House,25320000
PROP0062,3984,5,1,19,Rural,House,24470000
PROP0063,4802,5,1,9,Rural,House,29060000
PROP0064,4730,3,2,28,Rural,Apartment,26250000
PROP0065,4208,4,2,45,Rural,House,23790000
PROP0066,3255,5,2,21,Suburb,Apartment,31837500
PROP0067,1446,1,2,32,Suburb,House,11445000
PROP0068,3986,4,3,40,Rural,Apartment,23430000
PROP0069,1690,4,3,44,Rural,Villa,11750000
PROP0070,3147,3,3,34,Rural,House,18535000
PROP0071,2353,2,3,38,Suburb,Apartment,20047500
PROP0072,937,5,3,20,City Center,House,20370000
PROP0073,2607,1,2,30,Suburb,House,20302500
